age_group,sex_id,year_id,location_id,mean,lower,upper,inc_target,Sex,metric
15 to 49,1,1990,1,0.000903075,0.000744811,0.001085671,0.000587427,Male,incidence
15 to 49,1,1995,1,0.000959262,0.000807512,0.001137353,0.000587427,Male,incidence
15 to 49,1,2000,1,0.000958152,0.000815034,0.001140727,0.000587427,Male,incidence
15 to 49,1,2005,1,0.000922836,0.000786524,0.001102349,0.000587427,Male,incidence
15 to 49,1,2010,1,0.000815243,0.000699279,0.000977909,0.000587427,Male,incidence
15 to 49,1,2015,1,0.000734283,0.000631302,0.000875966,0.000587427,Male,incidence
15 to 49,1,2019,1,0.000705371,0.000606145,0.000842924,0.000587427,Male,incidence
15 to 49,1,2020,1,0.000700053,0.00060129,0.000834468,0.000587427,Male,incidence
15 to 49,1,2021,1,0.000693815,0.00059559,0.000829368,0.000587427,Male,incidence
15 to 49,2,1990,1,0.000914261,0.000717052,0.001112728,0.000541752,Female,incidence
15 to 49,2,1995,1,0.000970395,0.000780343,0.001165698,0.000541752,Female,incidence
15 to 49,2,2000,1,0.000974161,0.000802668,0.001170073,0.000541752,Female,incidence
15 to 49,2,2005,1,0.000930979,0.000773332,0.001126769,0.000541752,Female,incidence
15 to 49,2,2010,1,0.000795933,0.000664878,0.000965111,0.000541752,Female,incidence
15 to 49,2,2015,1,0.00067719,0.00056929,0.000822495,0.000541752,Female,incidence
15 to 49,2,2019,1,0.000626616,0.000529325,0.000756724,0.000541752,Female,incidence
15 to 49,2,2020,1,0.000622605,0.000525274,0.000755073,0.000541752,Female,incidence
15 to 49,2,2021,1,0.000613287,0.000513714,0.000740635,0.000541752,Female,incidence
5 to 14,1,1990,1,0.000263812,0.000181398,0.000364184,0.000140891,Male,incidence
5 to 14,1,1995,1,0.00026538,0.000189873,0.00036666,0.000140891,Male,incidence
5 to 14,1,2000,1,0.000239343,0.000170175,0.000331055,0.000140891,Male,incidence
5 to 14,1,2005,1,0.000234824,0.00016902,0.000321299,0.000140891,Male,incidence
5 to 14,1,2010,1,0.00020531,0.000147516,0.000285473,0.000140891,Male,incidence
5 to 14,1,2015,1,0.000176114,0.000123758,0.00024428,0.000140891,Male,incidence
5 to 14,1,2019,1,0.000153614,0.00010889,0.00021312,0.000140891,Male,incidence
5 to 14,1,2020,1,0.000150132,0.000105683,0.000207784,0.000140891,Male,incidence
5 to 14,1,2021,1,0.000140952,0.000100266,0.000196494,0.000140891,Male,incidence
5 to 14,2,1990,1,0.000403683,0.000277777,0.000552593,0.000194033,Female,incidence
5 to 14,2,1995,1,0.000408834,0.000292334,0.000557465,0.000194033,Female,incidence
5 to 14,2,2000,1,0.000358287,0.000255344,0.000489784,0.000194033,Female,incidence
5 to 14,2,2005,1,0.000337573,0.000246516,0.000458264,0.000194033,Female,incidence
5 to 14,2,2010,1,0.000290261,0.000210409,0.000401882,0.000194033,Female,incidence
5 to 14,2,2015,1,0.000242542,0.000169863,0.000335285,0.000194033,Female,incidence
5 to 14,2,2019,1,0.000206088,0.000146236,0.000285981,0.000194033,Female,incidence
5 to 14,2,2020,1,0.000200811,0.000141052,0.000280209,0.000194033,Female,incidence
5 to 14,2,2021,1,0.000188876,0.000132297,0.000263679,0.000194033,Female,incidence
50 to 69,1,1990,1,0.001847648,0.00143904,0.002401202,0.000918301,Male,incidence
50 to 69,1,1995,1,0.00190444,0.001509852,0.002386263,0.000918301,Male,incidence
50 to 69,1,2000,1,0.001724932,0.001373547,0.002146523,0.000918301,Male,incidence
50 to 69,1,2005,1,0.001528037,0.001217219,0.001899051,0.000918301,Male,incidence
50 to 69,1,2010,1,0.001335489,0.001058103,0.001660557,0.000918301,Male,incidence
50 to 69,1,2015,1,0.001147877,0.000912624,0.001421107,0.000918301,Male,incidence
50 to 69,1,2019,1,0.001081002,0.000864315,0.001330559,0.000918301,Male,incidence
50 to 69,1,2020,1,0.001073895,0.000863225,0.001317612,0.000918301,Male,incidence
50 to 69,1,2021,1,0.001051244,0.000831453,0.001302845,0.000918301,Male,incidence
50 to 69,2,1990,1,0.001147243,0.000887244,0.001479043,0.000585021,Female,incidence
50 to 69,2,1995,1,0.001177749,0.000923299,0.001475651,0.000585021,Female,incidence
50 to 69,2,2000,1,0.001091861,0.000866307,0.001356376,0.000585021,Female,incidence
50 to 69,2,2005,1,0.00096235,0.000763964,0.001203198,0.000585021,Female,incidence
50 to 69,2,2010,1,0.000854277,0.000676997,0.001062973,0.000585021,Female,incidence
50 to 69,2,2015,1,0.000731276,0.00057364,0.000903836,0.000585021,Female,incidence
50 to 69,2,2019,1,0.000698291,0.000552274,0.000863121,0.000585021,Female,incidence
50 to 69,2,2020,1,0.000697353,0.000549118,0.000861495,0.000585021,Female,incidence
50 to 69,2,2021,1,0.000683336,0.000534168,0.000852654,0.000585021,Female,incidence
70 plus,1,1990,1,0.001956495,0.001565128,0.002429933,0.000967472,Male,incidence
70 plus,1,1995,1,0.00193478,0.001545137,0.002339373,0.000967472,Male,incidence
70 plus,1,2000,1,0.001815441,0.001462301,0.002190345,0.000967472,Male,incidence
70 plus,1,2005,1,0.001616481,0.001298311,0.001967397,0.000967472,Male,incidence
70 plus,1,2010,1,0.001402244,0.001140623,0.001696461,0.000967472,Male,incidence
70 plus,1,2015,1,0.00120934,0.000977188,0.001463369,0.000967472,Male,incidence
70 plus,1,2019,1,0.001128244,0.000925372,0.001362495,0.000967472,Male,incidence
70 plus,1,2020,1,0.001104665,0.000902406,0.001331261,0.000967472,Male,incidence
70 plus,1,2021,1,0.001078898,0.000882357,0.001304635,0.000967472,Male,incidence
70 plus,2,1990,1,0.001469808,0.001162293,0.001837179,0.00074622,Female,incidence
70 plus,2,1995,1,0.001440066,0.001143655,0.001759716,0.00074622,Female,incidence
70 plus,2,2000,1,0.0013267,0.001065952,0.00161337,0.00074622,Female,incidence
70 plus,2,2005,1,0.001201885,0.000966682,0.001449812,0.00074622,Female,incidence
70 plus,2,2010,1,0.001066642,0.000850058,0.00130346,0.00074622,Female,incidence
70 plus,2,2015,1,0.000932774,0.000757787,0.001140453,0.00074622,Female,incidence
70 plus,2,2019,1,0.000870447,0.000709047,0.001054633,0.00074622,Female,incidence
70 plus,2,2020,1,0.000855613,0.000696266,0.001029608,0.00074622,Female,incidence
70 plus,2,2021,1,0.000840717,0.000674676,0.001030906,0.00074622,Female,incidence
All Ages,1,1990,1,0.000879673,0.000767743,0.001003875,0.000553554,Male,incidence
All Ages,1,1995,1,0.000924909,0.000816364,0.00104612,0.000553554,Male,incidence
All Ages,1,2000,1,0.000904885,0.000804528,0.001016311,0.000553554,Male,incidence
All Ages,1,2005,1,0.000866412,0.000768756,0.000975886,0.000553554,Male,incidence
All Ages,1,2010,1,0.00077392,0.000687,0.000869783,0.000553554,Male,incidence
All Ages,1,2015,1,0.000691943,0.000615506,0.000776688,0.000553554,Male,incidence
All Ages,1,2019,1,0.000662158,0.00059035,0.0007409,0.000553554,Male,incidence
All Ages,1,2020,1,0.00065806,0.000587445,0.000740301,0.000553554,Male,incidence
